filename,x,y
0001_01_01_1332-01.jpg,13.957718,3.134538
0002_01_01_1335-01.jpg,14.107581,3.949950
0003_01_01_1346-01.jpg,-4.992521,8.886260
0004_01_01_1349-01.jpg,9.964222,5.379344
0005_01_02_1341-01.jpg,9.869123,2.964639
0006_01_03_1319-01.jpg,13.072751,1.573864
0007_01_03_1331-01.jpg,13.118553,2.992991
0008_01_03_1348-01.jpg,-4.897409,8.780383
0009_01_03_1352-01.jpg,5.671500,2.647184
0010_01_03_1354-01.jpg,5.845201,5.350937
0011_01_04_1337-01.jpg,15.129440,3.710085
0012_01_05_1302-01.jpg,11.069069,4.590768
0013_01_05_1328-01.jpg,13.708175,2.535570
0014_01_07_1349-01.jpg,6.115478,6.894316
0015_01_07_1349-02.jpg,4.565959,2.979036
0016_01_08_1324-01.jpg,13.703637,1.658168
0017_01_08_1331-01.jpg,10.222497,2.408544
0018_01_08_1336-01.jpg,14.840535,3.935814
0019_01_08_1345-01.jpg,6.010892,4.935671
0020_01_08_1353-01.jpg,6.061823,5.688273
0021_01_09_1331-01.jpg,13.277170,3.185052
0022_01_09_1331-02.jpg,14.731997,2.284114
0023_01_10_1310-01.jpg,10.950952,5.542604
0024_01_10_1310-02.jpg,10.975625,5.532768
0025_01_10_1321-01.jpg,12.957337,2.241457
0026_01_10_1343-01.jpg,15.414386,6.800303
0027_01_10_1347-01.jpg,-5.041361,8.966857
0028_01_10_1354-01.jpg,5.346005,6.606588
0029_01_10_1354-02.jpg,5.059412,6.794956
0030_01_11_1332-01.jpg,13.011718,3.088094
0031_01_12_1336-01.jpg,14.765458,3.775966
0032_02_01_1354-01.jpg,5.055748,2.259251
0033_02_02_1344-01.jpg,15.757866,6.495589
0034_02_05_1354-01.jpg,6.394173,3.719522
0035_02_06_1344-01.jpg,5.926068,8.987299
0036_02_08_1336-01.jpg,14.505717,3.810633
0037_02_10_1347-01.jpg,6.811230,7.575227
0038_03_01_1355-01.jpg,6.772469,4.019949
0039_03_01_1355-02.jpg,6.923142,4.025061
0040_03_01_1355-03.jpg,6.809272,4.013946
0041_03_03_1327-01.jpg,9.790313,2.383259
0042_03_05_1331-01.jpg,13.200016,2.840813
0043_03_05_1343-01.jpg,15.637398,6.582617
0044_03_06_1355-01.jpg,7.012822,4.145938
0045_03_07_1322-01.jpg,13.403485,1.497288
0046_03_07_1350-01.jpg,4.467763,2.847208
0047_03_08_1345-01.jpg,15.239599,6.572124
0048_03_10_1345-01.jpg,6.552984,6.571558
0049_03_12_1328-01.jpg,13.762180,2.975922
0050_03_12_1349-01.jpg,4.961539,2.909494
